date,value
1972-09-15,68
1974-09-15,69
1976-09-15,72
1997-09-15,53
2004-09-15,44
2016-09-15,32
2018-09-15,45
2019-09-15,41
2020-09-15,40
2021-09-15,36
2022-09-15,34
2023-09-15,32
2024-09-15,31
2025-09-15,28
